Wall time,Step,Value
1678072372.4997945,10240,-64490.609375
1678072537.9613807,30720,-70516.1796875
1678072556.606403,32768,-65007.76171875
1678072605.9060357,38912,-75999.6171875
1678072624.6631546,40960,-69328.546875
1678072739.7228358,55296,-53035.03515625
1678072756.3136764,57344,-51306.9140625
1678072966.1305707,83968,-37569.05078125
1678073079.5883355,98304,-32013.482421875
1678073095.7537594,100352,-31361.892578125
1678073109.678251,102400,-31361.892578125
1678073191.5809367,112640,-27982.833984375
1678073317.9276276,129024,-24881.916015625
1678073334.1868095,131072,-24497.09375
1678073384.600857,137216,-23083.771484375
1678073398.622803,139264,-23083.771484375
1678073447.1587465,145408,-22113.544921875
1678073463.0332816,147456,-21816.146484375
1678073557.407796,159744,-20294.1328125
1678073637.9318411,169984,-19028.701171875
1678073748.388924,184320,-17661.85546875
1678073909.1884544,204800,-15831.888671875
1678073974.3272276,212992,-16683.833984375
1678074040.1335564,221184,-18044.291015625
1678074273.8161123,249856,-29657.630859375
1678074337.4185443,258048,-29550.041015625
1678074351.5342553,260096,-29550.041015625
1678074384.7039318,264192,-40834.6796875
1678074415.6722744,268288,-54882.44140625
1678074512.6656904,280576,-61596.30859375
1678074647.465528,296960,-64360.98046875
1678074680.38354,301056,-64386.4375
1678074703.4877996,303104,-64432.98046875
1678074750.6797469,309248,-64426.14453125
1678074866.8891904,323584,-65283.58203125
1678074919.0632985,329728,-97041.4453125
1678074949.6530333,333824,-123401.4765625
1678074981.7046504,337920,-123381.6328125
1678075089.0436594,352256,-148370.75
1678075104.9941847,354304,-156958.984375
1678075181.1299145,364544,-158276.5
1678075293.1694837,378880,-162363.28125
1678075311.3081686,380928,-162367.1875
1678075407.472171,393216,-162391.28125
1678075421.595053,395264,-162391.28125
1678075595.6787162,417792,-162762.0625
1678075627.6154997,421888,-162783.25
1678075725.683506,434176,-180917.046875
1678075755.7034543,438272,-197683.078125
1678075787.7801068,442368,-198144.203125
1678075933.265687,460800,-189118.453125
1678076013.5282671,471040,-190041.859375
1678076257.323727,501760,-204291.078125
1678076271.5413177,503808,-204291.078125
1678076494.2869482,530432,-244765.5
1678076510.6840117,532480,-244767.15625
1678076525.011631,534528,-244767.15625
1678076703.9176805,557056,-231622.796875
1678076751.1829236,563200,-232037.203125
1678076815.2205105,571392,-201177.484375
1678076879.308011,579584,-224335.125
1678076925.5542767,585728,-236661.9375
1678076974.0982635,591872,-238477.40625
1678077012.5658667,595968,-262221.9375
1678077088.1480665,606208,-263497.84375
1678077120.63244,610304,-264878.53125
1678077136.7726305,612352,-264451.09375
1678077295.9376805,632832,-302809.1875
1678077357.5933383,641024,-329164.53125
1678077421.5569034,649216,-335539.71875
1678077453.7402263,653312,-316942.25
1678077467.9654806,655360,-316942.25
1678077516.31455,661504,-299725.4375
1678077751.0362697,692224,-290483.3125
1678077876.2441745,708608,-266294.21875
1678077892.6589048,710656,-266276.625
1678078091.7680047,735232,-216690.984375
1678078192.6580977,747520,-206208.703125
1678078207.0217552,749568,-206208.703125
1678078223.4974065,751616,-206634.5
1678078416.5972807,776192,-169218.890625
1678078546.0200164,792576,-175938.765625
1678078609.4001393,800768,-173218.5625
1678078642.4742885,804864,-165944.265625
1678078724.4622638,815104,-141853.078125
1678078807.1041348,825344,-120441.2890625
1678078837.2925906,829440,-120430.796875
1678079008.8453743,851968,-128937.375
1678079102.3885021,864256,-118801.3984375
1678079116.4191203,866304,-118801.3984375
1678079339.4547472,894976,-52384.89453125
1678079357.7697732,897024,-48322.5546875
1678079387.7096646,901120,-48322.56640625
1678079449.4151938,909312,-48220.6875
1678079465.4202359,911360,-48677.9296875
1678079495.1133995,915456,-47349.15625
1678079589.681319,927744,-46877.015625
1678079653.378294,935936,-52769.93359375
1678079728.669363,946176,-52627.0546875
1678079791.9894307,954368,-52174.40234375
1678079841.4037623,960512,-49502.34765625
1678079876.4606159,964608,-49891.8203125
1678079937.9115338,972800,-50272.21875
1678079956.9218833,974848,-50226.20703125
1678080034.061807,985088,-50628.12109375
1678080050.4924057,987136,-51090.7578125
1678080144.5090668,999424,-52448.21875
1678080179.510845,1003520,-51572.5546875
1678080257.2507262,1013760,-57408.26953125
1678080515.1599061,1046528,-59264.6953125
1678080546.2130504,1050624,-67438.03125
1678080565.0749736,1052672,-67388.1328125
1678080579.2616456,1054720,-67388.1328125
1678080628.6097546,1060864,-59755.8203125
1678080661.7481155,1064960,-55655.21875
1678080888.2667644,1093632,-51580.1328125
1678080904.4855127,1095680,-51631.93359375
1678080934.2935362,1099776,-53938.203125
1678080968.7232547,1103872,-56256.9765625
1678081000.3757088,1107968,-56258.26171875
1678081064.0951226,1116160,-59881.59765625
1678081094.1183383,1120256,-59837.67578125
1678081157.0977802,1128448,-71167.71875
1678081189.0496116,1132544,-76601.9921875
1678081251.0277216,1140736,-77432.5
1678081351.7541964,1153024,-83591.6328125
1678081383.9621177,1157120,-86363.1953125
1678081447.2383366,1165312,-80404.6796875
1678081700.803059,1198080,-84332.9453125
1678081717.3589675,1200128,-84337.578125
1678081766.752985,1206272,-83951.25
1678081797.4376843,1210368,-83952.9609375
1678081861.0862339,1218560,-83081.5234375
1678081891.6880138,1222656,-83077.4765625
1678082082.748814,1247232,-84475.90625
1678082163.348297,1257472,-86314.265625
1678082180.1586602,1259520,-95841.5390625
1678082307.3348682,1275904,-90816.5390625
1678082321.4950995,1277952,-90816.5390625
1678082401.9832158,1288192,-94553.515625
1678082416.3962867,1290240,-94553.515625
1678082480.1599655,1298432,-94435.0703125
1678082543.873698,1306624,-101207.484375
1678082639.1446393,1318912,-101192.40625
1678082655.908152,1320960,-101226.1015625
1678082737.3104541,1331200,-109420.078125
1678082771.7904534,1335296,-104859.046875
1678082885.7126198,1349632,-105262.0390625
1678082917.0320241,1353728,-102988.7265625
1678083030.8780925,1368064,-101533.796875
1678083161.5422807,1384448,-93788.7890625
1678083178.6233492,1386496,-92431.0859375
1678083307.6493654,1402880,-82454.109375
1678083441.09097,1419264,-78356.875
1678083472.5714974,1423360,-78324.6953125
1678083733.6777296,1456128,-74581.0234375
1678083913.0583441,1478656,-70742.734375
1678083946.8127947,1482752,-70744.484375
1678083978.1185875,1486848,-70688.5859375
1678083995.1761813,1488896,-70630.234375
1678084026.6601408,1492992,-70177.4765625
1678084043.2965772,1495040,-70217.984375
1678084074.6966472,1499136,-70166.515625
1678084091.7106266,1501184,-70134.828125
1678084108.488957,1503232,-70573.7890625
1678084188.1661086,1513472,-66019.359375
1678084284.9657462,1525760,-66026.1796875
1678084607.5883276,1566720,-55294.01171875
1678084739.814118,1583104,-67642.4296875
1678084788.2617142,1589248,-66365.7578125
1678084805.2266376,1591296,-66376.921875
1678084838.821078,1595392,-65932.46875
1678084870.373977,1599488,-85024.875
1678084901.553833,1603584,-84571.3359375
1678085003.1953833,1615872,-86019.84375
1678085262.8467515,1648640,-91528.203125
1678085279.4881892,1650688,-91592.0625
1678085312.5925243,1654784,-90219.1171875
1678085360.1644413,1660928,-90177.2734375
1678085487.1444936,1677312,-90631.296875
1678085503.8552217,1679360,-90615.6015625
1678085649.7356164,1697792,-90439.5703125
1678085711.3426807,1705984,-90896.375
1678085843.0141888,1722368,-90944.6171875
1678085892.8901722,1728512,-90451.078125
1678085927.0335553,1732608,-89905.71875
1678086120.5490804,1757184,-90866.65625
1678086171.332267,1763328,-90938.8359375
1678086204.8345146,1767424,-92300.609375
1678086270.1686523,1775616,-91882.8203125
1678086349.7687564,1785856,-92340.140625
1678086559.5384717,1812480,-89438.5859375
1678086591.0435486,1816576,-90772.296875
1678086689.542108,1828864,-78975.5703125
1678086737.7354262,1835008,-78947.4453125
1678086769.3297875,1839104,-79012.6640625
1678086833.684094,1847296,-62621.046875
1678086850.4457598,1849344,-67583.453125
1678086946.4059377,1861632,-49726.1796875
1678087268.1734447,1902592,-21073.392578125
1678087299.479807,1906688,-21026.501953125
1678087330.58701,1910784,-20978.87109375
1678087491.744104,1931264,-14494.796875
1678087604.4128556,1945600,-14746.8369140625
1678087700.6772058,1957888,-14656.755859375
1678087830.2126513,1974272,-14988.6923828125
1678088084.3168206,2007040,-17133.09765625
1678088134.5485895,2013184,-15158.65234375
1678088196.7453651,2021376,-15553.552734375
1678088292.6128666,2033664,-15489.7587890625
1678088326.0353765,2037760,-14964.7802734375
1678088405.9334555,2048000,-14847.6845703125
1678088453.60745,2054144,-14798.01171875
1678088470.4107425,2056192,-14725.1865234375
1678088487.3607633,2058240,-14737.263671875
1678088663.785275,2080768,-13246.291015625
1678088776.8650932,2095104,-12780.2607421875
1678088842.3328726,2103296,-13583.4521484375
1678088873.9209778,2107392,-14043.3955078125
1678089002.0556285,2123776,-13599.71875
1678089018.6976686,2125824,-13120.4091796875
1678089321.9017107,2164736,-10049.1513671875
1678089385.7404687,2172928,-9983.962890625
1678089540.1002963,2193408,-8514.298828125
1678089556.1289306,2195456,-8561.6845703125
1678089586.8716156,2199552,-8483.16015625
1678089649.329658,2207744,-8504.9453125
1678089790.3001256,2226176,-8458.8642578125
1678089979.6028621,2250752,-7947.67431640625
1678090042.9785213,2258944,-7842.72802734375
1678090073.67202,2263040,-7776.25146484375
1678090120.8596733,2269184,-7759.421875
1678090151.4805162,2273280,-7750.5185546875
1678090184.4121926,2277376,-9071.4375
1678090343.4951847,2297856,-6275.5390625
1678090359.8669162,2299904,-6259.25048828125
1678090407.4057102,2306048,-7137.548828125
1678090421.5410733,2308096,-7137.548828125
1678090468.7185776,2314240,-8038.1025390625
1678090518.6274922,2320384,-8112.81640625
1678090549.3629105,2324480,-8108.6064453125
1678090629.4510064,2334720,-12241.1337890625
1678090740.9806888,2349056,-11798.7578125
1678090820.0559583,2359296,-19614.451171875
1678090840.7194295,2361344,-19651.462890625
1678091046.1265612,2385920,-42828.8671875
1678091213.7180398,2406400,-59294.921875
1678091248.1875143,2410496,-77001.9140625
1678091263.2375505,2412544,-77001.9140625
1678091381.4705915,2426880,-90800.390625
1678091463.0147183,2437120,-89336.5
1678091529.8312395,2445312,-88445.125
1678091547.1953013,2447360,-88507.90625
1678091744.6560333,2471936,-97529.3359375
1678091875.7606099,2488320,-103799.6015625
1678091941.4356842,2496512,-107404.921875
1678092021.2761407,2506752,-109735.015625
1678092051.5388513,2510848,-109753.578125
1678092114.2417157,2519040,-112934.96875
1678092346.5298352,2549760,-119683.109375
1678092376.8328304,2553856,-119202.2109375
1678092440.2632132,2562048,-126879.4921875
1678092456.9604635,2564096,-126870.1796875
1678092471.1514928,2566144,-126870.1796875
1678092504.5271294,2570240,-126759.3359375
1678092551.6178355,2576384,-136791.546875
1678092613.5375636,2584576,-136786.84375
1678092710.8016458,2596864,-134538.65625
1678092772.7158906,2605056,-134071.578125
1678092852.7563243,2615296,-129872.171875
1678092947.686271,2627584,-143509.40625
1678092994.7644403,2633728,-143422.859375
1678093074.4495683,2643968,-148312.65625
1678093122.5166197,2650112,-148209.1875
1678093204.4244163,2660352,-139558.75
1678093218.8376405,2662400,-139558.75
1678093266.9284172,2668544,-154964.5
1678093332.2336125,2676736,-171373.09375
1678093477.4324217,2695168,-179786.53125
1678093589.0797882,2709504,-161971.671875
1678093636.4502497,2715648,-150965.109375
1678093653.394059,2717696,-147740.8125
1678093797.311714,2736128,-155000.875
1678093958.2226636,2756608,-154796.015625
1678094005.9949899,2762752,-154801.0
1678094099.783838,2775040,-147948.703125
1678094192.6752937,2787328,-141472.265625
1678094255.8712142,2795520,-137388.96875
1678094427.5010219,2818048,-134437.359375
1678094443.459112,2820096,-131225.109375
1678094505.4379456,2828288,-131151.234375
1678094597.8078167,2840576,-131141.65625
1678094659.7305415,2848768,-124305.65625
1678094705.5802493,2854912,-124320.3125
1678095073.472149,2904064,-104595.40625
1678095363.1116939,2942976,-78023.3828125
1678095392.756503,2947072,-77972.8203125
1678095408.6700468,2949120,-77947.1328125
1678095424.7549467,2951168,-77890.5859375
1678095563.2497988,2969600,-54109.7578125
1678095684.1287339,2985984,-28996.876953125
1678095700.1425765,2988032,-28993.84765625
1678095729.845051,2992128,-28992.09765625
1678095745.7776875,2994176,-3941.791748046875
1678095944.8526707,3020800,-3868.2548828125
1678095974.3820748,3024896,3450.03955078125
1678096143.9748757,3047424,7207.64013671875
1678096190.9112568,3053568,7223.634765625
1678096251.8703403,3061760,7262.1904296875
1678096313.0658014,3069952,7288.50146484375
1678096374.3591986,3078144,7316.4814453125
1678096481.4865384,3092480,7356.037109375
1678096495.3926973,3094528,7356.037109375
1678096511.41152,3096576,7337.2802734375
1678096540.5729878,3100672,7343.0625
1678096586.233852,3106816,7379.1103515625
1678096771.3917043,3131392,7391.77197265625
1678096863.1787329,3143680,7394.6630859375
1678096908.6565642,3149824,7427.2001953125
1678096922.5241096,3151872,7427.2001953125
1678097076.0880377,3172352,7500.48388671875
1678097122.5294716,3178496,7521.8984375
1678097292.2137918,3201024,7551.345703125
1678097338.087908,3207168,7555.580078125
1678097383.5554454,3213312,7568.49755859375
1678097458.7811186,3223552,7598.095703125
1678097504.0279357,3229696,7598.7978515625
1678097642.7534094,3248128,4903.58056640625
1678097810.238212,3270656,4894.4052734375
1678097885.628098,3280896,4899.73193359375
1678097917.6676545,3284992,4899.98828125
1678098285.1952045,3334144,4949.64892578125
1678098409.9299352,3350528,4980.24072265625
1678098439.7819219,3354624,4987.69482421875
1678098485.9239457,3360768,4987.2724609375
1678098577.6315463,3373056,4948.6728515625
1678098593.4567618,3375104,4946.9248046875
1678098701.1225305,3389440,4957.24951171875
1678098822.7276402,3405824,4967.51513671875
1678098884.4785066,3414016,5025.66943359375
1678098945.9774776,3422208,5032.42138671875
1678099005.8957448,3430400,5034.3095703125
1678099052.0978568,3436544,5041.96875
1678099083.9766655,3440640,5072.38330078125
1678099178.7574823,3452928,5055.96240234375
1678099209.5445414,3457024,5052.1787109375
1678099316.916535,3471360,5064.70361328125
1678099438.1950667,3487744,5082.431640625
1678099470.0745075,3491840,5103.53564453125
1678099515.823359,3497984,5080.2421875
1678099545.27887,3502080,5102.83203125
1678099561.4146762,3504128,5110.09912109375
1678099575.314141,3506176,5110.09912109375
1678099683.5551114,3520512,5070.2109375
1678099744.85818,3528704,5053.75830078125
1678099760.9174736,3530752,5058.8671875
1678099865.5804129,3545088,7797.865234375
1678099988.691718,3561472,7807.2880859375
1678100004.7139862,3563520,7827.0185546875
1678100064.1657486,3571712,7828.65771484375
1678100096.4111528,3575808,7851.18408203125
1678100234.6081152,3594240,7868.61083984375
1678100403.650226,3616768,7831.970703125
1678100557.2292051,3637248,7839.90673828125
1678100589.3723137,3641344,7819.6064453125
1678100695.0698276,3655680,7824.9033203125
1678100711.8538067,3657728,7806.67041015625
1678100773.8890219,3665920,7835.9482421875
1678100819.6700923,3672064,7864.11572265625
1678100879.0549474,3680256,7840.41748046875
1678100940.5114434,3688448,7839.6884765625
1678101232.8877113,3727360,7798.17138671875
1678101294.928673,3735552,7777.224609375
1678101356.73643,3743744,7799.87451171875
1678101402.8462932,3749888,7800.712890625
1678101494.3620129,3762176,7800.41259765625
1678101524.083919,3766272,7800.30224609375
1678101661.3814504,3784704,7821.716796875
1678101723.4228802,3792896,7810.4443359375
1678101860.501878,3811328,7809.314453125
1678101938.530434,3821568,7835.7041015625
1678101952.0975473,3823616,7835.7041015625
1678101967.9240263,3825664,7857.103515625
1678102212.8581448,3858432,7893.0146484375
1678102288.5898325,3868672,7850.78857421875
1678102396.6742501,3883008,7808.66748046875
1678102458.6214955,3891200,7786.18701171875
1678102504.4701252,3897344,7816.6181640625
1678102596.6717966,3909632,7860.10302734375
1678102612.7702858,3911680,7885.74267578125
1678102626.5353339,3913728,7885.74267578125
1678102672.745261,3919872,7888.59130859375
1678102750.5470393,3930112,7856.16162109375
1678102842.8227344,3942400,7859.8857421875
1678102856.8306315,3944448,7859.8857421875
1678103010.907468,3964928,7861.04443359375
1678103026.793035,3966976,7858.88525390625
1678103088.516234,3975168,7832.4365234375
1678103102.1924791,3977216,7832.4365234375
1678103164.2235653,3985408,7881.7958984375
1678103194.4094021,3989504,7854.7578125
1678103288.5178285,4001792,7853.12060546875
1678103334.1557784,4007936,7833.830078125
1678103393.751272,4016128,7861.04931640625
1678103409.7719166,4018176,7865.26806640625
1678103439.6058333,4022272,7891.44384765625
1678103455.6695173,4024320,7913.46826171875
1678103485.1343415,4028416,7893.04736328125
1678103653.8884287,4050944,7883.8642578125
1678103683.623456,4055040,7882.50439453125
1678103806.980069,4071424,7834.08935546875
1678103820.7619405,4073472,7834.08935546875
1678103868.519377,4079616,7849.53125
1678104401.2903762,4151296,7735.7451171875
1678104540.565333,4169728,7740.01611328125
1678104554.610283,4171776,7740.01611328125
1678104724.3131497,4194304,7761.87890625
1678104830.0885987,4208640,7715.36376953125
1678104846.2171853,4210688,7712.50146484375
1678105030.1765032,4235264,7690.6728515625
1678105075.5596411,4241408,7713.1669921875
1678105215.2289293,4259840,7780.3603515625
1678105366.3868752,4280320,7809.36669921875
1678105489.7715976,4296704,7847.15087890625
1678105505.521817,4298752,7868.95263671875
1678105535.1470284,4302848,7868.50830078125
1678105579.9588265,4308992,7889.97021484375
1678105670.2298555,4321280,7895.578125
1678105745.6768692,4331520,7900.91015625
1678105761.3379073,4333568,7901.4091796875
1678105822.6122077,4341760,7928.4931640625
1678105838.4599793,4343808,7934.70458984375
1678105941.9821846,4358144,7990.63623046875
1678106077.311799,4376576,8046.3486328125
1678106121.9665945,4382720,8042.02099609375
1678106272.0682755,4403200,8113.904296875
1678106423.0012503,4423680,8055.29833984375
1678106574.9377515,4444160,8093.27001953125
1678106844.588096,4481024,8191.80517578125
1678106950.820625,4495360,8204.0517578125
1678107056.4681547,4509696,8259.208984375
1678107085.6684523,4513792,8256.7421875
1678107176.501672,4526080,8264.484375
1678107207.914332,4530176,8287.0380859375
1678107253.1344771,4536320,8238.77734375
1678107266.595465,4538368,8238.77734375
1678107356.7511463,4550656,8170.619140625
1678107417.6214817,4558848,8148.302734375
1678107584.6531868,4581376,8136.2783203125
1678107629.901323,4587520,8129.935546875
1678107705.2075171,4597760,8107.0390625
1678107901.3867056,4624384,8062.56982421875
1678108260.2771082,4673536,7965.1767578125
1678108545.0064807,4712448,7969.3232421875
1678108622.175805,4722688,7973.111328125
1678108635.7291224,4724736,7973.111328125
1678108786.5935037,4745216,8005.12255859375
1678108831.2976267,4751360,8032.44677734375
1678108907.9543085,4761600,7990.72265625
1678109026.75771,4777984,7928.1162109375
1678109071.8476522,4784128,7921.60498046875
1678109177.5493634,4798464,7893.8486328125
1678109193.1157289,4800512,7869.419921875
1678109206.9672937,4802560,7869.419921875
1678109238.5632179,4806656,7891.1630859375
1678109328.660098,4818944,7924.10986328125
1678109434.2843127,4833280,7878.703125
1678109644.2754722,4861952,7957.56201171875
1678109810.4724483,4884480,7882.15380859375
1678109884.5004559,4894720,7906.25341796875
1678109945.4738934,4902912,7937.95166015625
1678109959.480615,4904960,7937.95166015625
1678110004.6001196,4911104,7914.7421875
1678110020.415549,4913152,7917.5615234375
1678110473.5196333,4974592,7937.4951171875
1678110518.3858125,4980736,7936.583984375
1678110577.108313,4988928,7939.572265625
1678110592.6320028,4990976,7968.54296875
1678110668.8678617,5001216,7935.87548828125
1678110682.4416907,5003264,7935.87548828125
1678110861.8790786,5027840,7964.20068359375
1678110982.6691785,5044224,7933.86669921875
1678111011.9747176,5048320,7932.43603515625
1678111027.6045334,5050368,7904.244140625
1678111207.2975037,5074944,7967.51123046875
1678111328.589394,5091328,7997.64599609375
1678111448.371369,5107712,8025.0146484375
1678111522.550247,5117952,7997.5146484375
1678111554.0321672,5122048,7995.55419921875
1678111599.044593,5128192,8041.59912109375
1678111628.6225638,5132288,8063.7109375
1678111644.3533883,5134336,8041.60009765625
1678111750.1704595,5148672,8067.5517578125
1678111808.9909742,5156864,8078.60595703125
1678111824.7670379,5158912,8084.98486328125
1678111840.7301247,5160960,8112.12060546875
1678111869.932409,5165056,8112.78662109375
1678111899.4479723,5169152,8091.0771484375
1678111975.6951172,5179392,8115.3505859375
1678112004.6372383,5183488,8114.125
1678112126.6817453,5199872,8107.02880859375
1678112534.0542085,5255168,8101.0703125
1678112549.76823,5257216,8099.927734375
1678112579.22099,5261312,8102.22802734375
1678112713.2329605,5279744,8112.255859375
1678112728.906631,5281792,8114.10498046875
1678112834.287647,5296128,8146.34619140625
1678112879.2107685,5302272,8153.9189453125
