Wall time,Step,ep_len_mean,ep_rew_mean
1679745326.76363,2048,598,-825.226623535156
1679745358.53382,6144,929.799987792969,-731.571044921875
1679745375.14197,8192,1067.28576660156,-692.747314453125
1679745390.56298,10240,1067.28576660156,-692.747314453125
1679745438.00494,16384,1497.22216796875,-313.444305419922
1679745468.85863,20480,1770.81823730469,22.9223442077637
1679745484.15398,22528,1862.25,54.5859336853027
1679745498.9757,24576,1862.25,54.5859336853027
1679745545.17842,30720,2025.07141113281,273.042541503906
1679745560.55525,32768,2090.19995117188,366.912994384766
1679745575.77617,34816,2131.1875,374.720367431641
1679745591.16443,36864,2138.88232421875,362.930572509766
1679745606.26166,38912,2138.88232421875,362.930572509766
1679745622.47334,40960,2146.26318359375,405.888702392578
1679745637.48265,43008,2146.26318359375,405.888702392578
1679745653.00324,45056,2189.05004882812,475.61083984375
1679745668.54769,47104,2227.76196289062,539.337280273438
1679745683.63809,49152,2227.76196289062,539.337280273438
1679745714.73504,53248,2238.78271484375,570.259094238281
1679745730.11605,55296,2222.66674804687,549.902160644531
1679745745.62385,57344,2253.84008789062,603.97802734375
1679745760.96778,59392,2261.8076171875,600.540832519531
1679745776.04227,61440,2261.8076171875,600.540832519531
1679745791.73303,63488,2289.22216796875,647.954223632813
1679745807.16665,65536,2314.67846679688,696.769836425781
1679745822.03278,67584,2314.67846679688,696.769836425781
1679745837.43108,69632,2338.37939453125,738.287231445313
1679745852.95826,71680,2360.5,779.846801757813
1679745884.14211,75776,2381.19360351563,817.219848632812
1679745900.37062,77824,2400.59375,853.584350585938
1679745915.77313,79872,2418.81811523437,888.257080078125
1679745931.18948,81920,2418.81811523437,888.257080078125
1679745946.65016,83968,2435.970703125,922.881408691406
1679745977.55277,88064,2452.14282226563,954.232849121094
1679745993.50546,90112,2467.41674804688,985.981567382813
1679746039.23079,96256,2495.552734375,1046.95751953125
1679746054.48984,98304,2508.53857421875,1074.39282226563
1679746069.31732,100352,2508.53857421875,1074.39282226563
1679746084.75665,102400,2520.875,1101.36193847656
1679746100.22773,104448,2532.60986328125,1128.12731933594
1679746115.06554,106496,2532.60986328125,1128.12731933594
1679746130.2954,108544,2543.78564453125,1154.90295410156
1679746145.70644,110592,2554.44189453125,1180.76477050781
1679746160.66297,112640,2554.44189453125,1180.76477050781
1679746176.13457,114688,2564.61352539062,1205.24096679688
1679746206.26133,118784,2574.33325195312,1226.9443359375
1679746222.59982,120832,2583.63037109375,1248.81665039063
1679746253.71253,124928,2601.0625,1288.97546386719
1679746268.50417,126976,2601.0625,1288.97546386719
1679746283.91705,129024,2609.24487304688,1306.57067871094
1679746299.71914,131072,2617.10009765625,1324.50219726563
1679746329.65936,135168,2624.64697265625,1341.9169921875
1679746345.14141,137216,2631.90380859375,1357.900390625
1679746359.94862,139264,2631.90380859375,1357.900390625
1679746375.33984,141312,2638.88671875,1371.65942382813
1679746405.80857,145408,2645.61108398438,1388.87182617188
1679746420.89505,147456,2652.0908203125,1403.220703125
1679746435.95097,149504,2658.33935546875,1418.01318359375
1679746450.48502,151552,2658.33935546875,1418.01318359375
1679746481.32979,155648,2670.18969726562,1442.90649414063
1679746496.23305,157696,2670.18969726562,1442.90649414063
1679746511.69355,159744,2675.8134765625,1456.40966796875
1679746527.28413,161792,2681.25,1474.36633300781
1679746542.31803,163840,2681.25,1474.36633300781
1679746557.61612,165888,2686.50830078125,1490.60571289063
1679746572.62637,167936,2691.5966796875,1508.27465820313
1679746588.0782,169984,2696.52392578125,1523.75671386719
1679746603.44943,172032,2696.52392578125,1523.75671386719
1679746618.61818,174080,2701.296875,1538.88024902344
1679746634.03144,176128,2705.92309570312,1554.45227050781
1679746649.35538,178176,2694.68188476562,1539.35681152344
1679746664.16917,180224,2694.68188476562,1539.35681152344
1679746679.41682,182272,2699.2685546875,1553.20043945313
1679746694.72042,184320,2703.720703125,1567.36657714844
1679746709.75975,186368,2685.34790039062,1545.41040039063
1679746741.01545,190464,2633.375,1482.92822265625
1679746771.60207,194560,2609.4189453125,1452.14245605469
1679746787.38817,196608,2584.93432617187,1421.615234375
1679746802.67849,198656,2569.80517578125,1404.14367675781
1679746849.76392,204800,2520.18530273437,1343.29968261719
1679746865.2802,206848,2514.4267578125,1334.041015625
1679746880.48064,208896,2509.68676757812,1326.78564453125
1679746910.63613,212992,2507.33325195312,1321.36145019531
1679746925.92441,215040,2510.2470703125,1320.96044921875
1679746955.55663,219136,2515.82568359375,1322.6015625
1679746970.80175,221184,2521.41381835937,1335.70190429688
1679746986.06198,223232,2526.875,1348.43103027344
1679747000.82226,225280,2526.875,1348.43103027344
1679747016.05433,227328,2532.21337890625,1360.7802734375
1679747031.63752,229376,2537.43334960937,1371.56860351563
1679747047.07903,231424,2542.53857421875,1382.73620605469
1679747078.26876,235520,2547.53271484375,1393.74560546875
1679747093.62599,237568,2552.41943359375,1404.60498046875
1679747108.40537,239616,2552.41943359375,1404.60498046875
1679747123.64103,241664,2557.2021484375,1416.1318359375
1679747139.04914,243712,2561.88427734375,1427.30456542969
1679747153.86919,245760,2561.88427734375,1427.30456542969
1679747169.30377,247808,2566.46875,1438.98120117188
1679747184.84993,249856,2570.95874023438,1450.16052246094
1679747199.62657,251904,2570.95874023438,1450.16052246094
1679747214.84178,253952,2575.35717773437,1461.06274414063
1679747245.11804,258048,2579.66674804688,1472.15563964844
1679747261.45217,260096,2583.88989257812,1483.59484863281
1679747276.46078,262144,2608.77001953125,1517.75708007813
1679747291.45499,264192,2608.77001953125,1517.75708007813
