Wall time,Step,ep_len_mean,ep_rew_mean
1679737602.39987,718848,2987.64990234375,-779.496154785156
1679737631.21339,722944,2987.64990234375,-778.445983886719
1679737645.04756,724992,2987.64990234375,-778.445983886719
1679737659.39495,727040,2987.64990234375,-778.145568847656
1679737673.69317,729088,2987.64990234375,-777.601196289062
1679737701.70203,733184,2987.64990234375,-776.945007324219
1679737715.99144,735232,2987.64990234375,-776.72314453125
1679737744.35008,739328,2987.64990234375,-776.31396484375
1679737758.69806,741376,2987.64990234375,-775.952453613281
1679737773.7482,743424,2987.64990234375,-775.245544433594
1679737788.21182,745472,2987.64990234375,-775.245544433594
1679737803.34682,747520,2987.64990234375,-774.902893066406
1679737823.52909,749568,2987.64990234375,-774.747985839844
1679737839.50025,751616,2987.64990234375,-774.747985839844
1679737854.31554,753664,2987.64990234375,-774.241821289063
1679737868.81523,755712,2987.64990234375,-774.060424804688
1679737882.61778,757760,2987.64990234375,-774.060424804688
1679737939.84146,765952,2987.64990234375,-773.185668945313
1679737954.31042,768000,2987.64990234375,-772.837158203125
1679737968.1418,770048,2987.64990234375,-772.837158203125
1679737996.82864,774144,2987.64990234375,-772.191955566406
1679738010.71602,776192,2987.64990234375,-772.191955566406
1679738054.03241,782336,2985.71997070312,-791.484741210938
1679738067.77041,784384,2985.71997070312,-791.484741210938
1679738096.81661,788480,2984.61010742187,-811.153625488281
1679738110.84981,790528,2984.61010742187,-811.153625488281
1679738125.39949,792576,2984.61010742187,-810.960021972656
1679738168.37825,798720,2984.61010742187,-810.600219726562
1679738182.69291,800768,2984.61010742187,-810.412658691406
1679738196.51252,802816,2984.61010742187,-810.412658691406
1679738211.03377,804864,2984.61010742187,-810.512756347656
1679738225.58487,806912,2984.61010742187,-810.482421875
1679738240.08358,808960,2984.61010742187,-810.455871582031
1679738254.10214,811008,2984.61010742187,-810.455871582031
1679738268.82159,813056,2984.61010742187,-810.351379394531
1679738283.50177,815104,2984.61010742187,-810.329223632813
1679738297.61724,817152,2984.61010742187,-810.329223632813
1679738312.02678,819200,2984.61010742187,-810.26513671875
1679738326.7361,821248,2984.61010742187,-810.196044921875
1679738340.6626,823296,2984.61010742187,-810.196044921875
1679738355.03161,825344,2984.61010742187,-810.071166992188
1679738369.37065,827392,2984.61010742187,-810.050231933594
1679738383.23904,829440,2984.61010742187,-810.050231933594
1679738397.49583,831488,2984.61010742187,-809.975646972656
1679738411.91013,833536,2984.61010742187,-809.96875
1679738426.08459,835584,2984.61010742187,-809.96875
1679738440.35373,837632,2984.61010742187,-809.8681640625
1679738454.74582,839680,2984.61010742187,-809.6806640625
1679738468.51601,841728,2984.61010742187,-809.6806640625
1679738497.06594,845824,2984.61010742187,-809.708679199219
1679738511.08855,847872,2984.61010742187,-809.708679199219
1679738525.6201,849920,2984.61010742187,-809.591125488281
1679738539.98653,851968,2984.61010742187,-809.784606933594
1679738582.7303,858112,2984.61010742187,-809.728332519531
1679738597.20352,860160,2984.61010742187,-809.343200683594
1679738611.07904,862208,2984.61010742187,-809.343200683594
1679738625.31151,864256,2984.61010742187,-809.273132324219
1679738639.53683,866304,2984.61010742187,-809.257751464844
1679738653.3048,868352,2984.61010742187,-809.257751464844
1679738667.85846,870400,2984.61010742187,-809.244140625
1679738682.31025,872448,2984.61010742187,-809.247009277344
1679738696.20581,874496,2984.61010742187,-809.247009277344
1679738710.49897,876544,2984.61010742187,-809.255493164063
1679738738.89134,880640,2984.61010742187,-809.162292480469
1679738753.17547,882688,2984.61010742187,-809.164184570312
1679738767.45218,884736,2984.61010742187,-809.181030273438
1679738810.46294,890880,2984.61010742187,-809.207397460938
1679738824.93681,892928,2984.61010742187,-809.207397460938
1679738839.20074,894976,2984.61010742187,-809.2626953125
1679738853.64741,897024,2984.61010742187,-809.281372070313
1679738867.94597,899072,2984.61010742187,-809.300170898437
1679738881.79595,901120,2984.61010742187,-809.300170898437
1679738896.29574,903168,2984.61010742187,-809.255187988281
1679738910.79863,905216,2984.61010742187,-809.189697265625
1679738938.98186,909312,2984.61010742187,-809.184631347656
1679738953.15547,911360,2984.61010742187,-809.27587890625
1679738966.98443,913408,2984.61010742187,-809.27587890625
1679738981.49098,915456,2984.31005859375,-819.352905273438
1679739038.90075,923648,2981.64990234375,-829.582824707031
1679739053.69174,925696,2979.63989257812,-839.70361328125
1679739067.51342,927744,2979.63989257812,-839.70361328125
1679739081.78306,929792,2978.10009765625,-849.742248535156
1679739096.08592,931840,2977.39990234375,-849.7880859375
1679739109.87692,933888,2977.39990234375,-849.7880859375
1679739124.49178,935936,2976.10009765625,-859.782165527344
1679739153.17762,940032,2974.90991210937,-869.969848632812
1679739167.05765,942080,2974.90991210937,-869.969848632812
1679739181.33123,944128,2974.7900390625,-870.091491699219
1679739195.89313,946176,2975.30004882812,-860.255981445313
1679739209.97996,948224,2975.30004882812,-860.255981445313
1679739224.4909,950272,2975.919921875,-850.379272460938
1679739239.07256,952320,2976.1298828125,-850.479064941406
1679739253.60022,954368,2976.1298828125,-850.479064941406
1679739268.05965,956416,2975.60009765625,-850.726928710938
1679739296.58591,960512,2976.0400390625,-850.869201660156
1679739310.96183,962560,2977.44995117187,-841.044555664062
1679739325.4011,964608,2978.85009765625,-831.190002441406
1679739339.16295,966656,2978.85009765625,-831.190002441406
1679739367.77999,970752,2982.38989257813,-811.415771484375
1679739382.2769,972800,2983.69995117188,-801.556091308594
1679739396.14185,974848,2983.69995117188,-801.556091308594
1679739438.85565,980992,2985.25,-781.277709960937
1679739453.43056,983040,2985.25,-781.151184082031
1679739467.95974,985088,2985.25,-781.185119628906
1679739482.25444,987136,2985.25,-781.185119628906
1679739497.85246,989184,2985.25,-781.017578125
1679739513.50702,991232,2985.25,-780.918823242188
1679739528.23099,993280,2985.25,-780.918823242188
1679739543.51484,995328,2985.25,-780.904968261719
1679739557.98633,997376,2985.25,-780.607238769531
1679739571.90769,999424,2985.25,-780.607238769531
1679739586.31182,1001472,2985.25,-780.479187011719
1679739600.69611,1003520,2985.25,-780.137512207031
1679739614.58613,1005568,2985.25,-780.137512207031
1679739628.91897,1007616,2985.25,-779.818542480469
1679739671.8132,1013760,2985.25,-779.115966796875
1679739686.34717,1015808,2985.25,-778.707397460938
1679739714.96661,1019904,2985.25,-778.565307617188
1679739729.27574,1021952,2985.25,-778.201416015625
1679739743.5671,1024000,2985.25,-778.029296875
1679739771.8113,1028096,2985.25,-778.158447265625
1679739786.11121,1030144,2985.25,-778.115478515625
1679739799.85422,1032192,2985.25,-778.115478515625
1679739842.59912,1038336,2985.25,-777.598388671875
1679739857.06269,1040384,2985.25,-777.449096679688
1679739871.48617,1042432,2985.25,-777.284851074219
1679739885.297,1044480,2985.25,-777.284851074219
1679739899.62362,1046528,2985.25,-777.1533203125
1679739913.93348,1048576,2985.25,-776.840026855469
1679739927.74051,1050624,2985.25,-776.840026855469
1679739942.27869,1052672,2985.25,-776.769470214844
1679739957.33123,1054720,2985.25,-776.716003417969
1679739985.62294,1058816,2985.25,-776.597534179688
1679740000.06868,1060864,2985.25,-776.516235351563
1679740014.56446,1062912,2985.25,-776.4716796875
1679740028.33149,1064960,2985.25,-776.4716796875
1679740042.64802,1067008,2985.25,-776.3701171875
1679740057.27241,1069056,2985.25,-776.344482421875
1679740085.55154,1073152,2985.25,-776.569519042969
1679740127.93166,1079296,2986.02001953125,-766.885192871094
1679740142.50399,1081344,2987.17993164062,-757.023071289063
1679740156.42789,1083392,2987.17993164062,-757.023071289063
1679740185.10129,1087488,2988.2900390625,-737.34814453125
1679740198.85032,1089536,2988.2900390625,-737.34814453125
1679740213.41472,1091584,2988.2900390625,-737.466186523438
1679740227.64459,1093632,2988.2900390625,-737.593139648438
1679740241.43631,1095680,2988.2900390625,-737.593139648438
1679740255.79582,1097728,2988.2900390625,-737.737121582031
1679740270.11623,1099776,2988.2900390625,-737.885070800781
1679740284.68221,1101824,2988.2900390625,-737.952819824219
1679740298.52219,1103872,2988.2900390625,-737.952819824219
1679740312.92873,1105920,2988.2900390625,-738.08203125
1679740327.20636,1107968,2988.2900390625,-738.062927246094
1679740341.31638,1110016,2988.2900390625,-738.062927246094
1679740355.81877,1112064,2988.2900390625,-738.231140136719
1679740370.29452,1114112,2988.2900390625,-738.220886230469
1679740384.03999,1116160,2988.2900390625,-738.220886230469
1679740412.63675,1120256,2988.2900390625,-738.385925292969
1679740426.43527,1122304,2988.2900390625,-738.385925292969
1679740440.83792,1124352,2988.2900390625,-738.443603515625
1679740469.19569,1128448,2988.2900390625,-738.523498535156
1679740498.28991,1132544,2988.2900390625,-738.415832519531
1679740512.46039,1134592,2988.2900390625,-738.415832519531
1679740527.07675,1136640,2988.2900390625,-738.448852539063
1679740541.70121,1138688,2988.2900390625,-738.361022949219
1679740555.78782,1140736,2988.2900390625,-738.361022949219
1679740584.84137,1144832,2988.2900390625,-738.200866699219
1679740599.31218,1146880,2988.2900390625,-738.061279296875
1679740613.25917,1148928,2988.2900390625,-738.061279296875
1679740627.51932,1150976,2988.2900390625,-737.890441894531
1679740641.98848,1153024,2988.2900390625,-737.968322753906
1679740655.85722,1155072,2988.2900390625,-737.968322753906
1679740670.30158,1157120,2988.2900390625,-737.850646972656
1679740698.32299,1161216,2988.2900390625,-738.006103515625
1679740712.69393,1163264,2988.2900390625,-737.972900390625
1679740727.01723,1165312,2988.2900390625,-737.945617675781
1679740741.04253,1167360,2988.2900390625,-737.945617675781
1679740755.51525,1169408,2988.2900390625,-737.911437988281
