Wall time,Step,ep_len_mean,ep_rew_mean
1680157970.92991,2048,624.333312988281,-868.42431640625
1680158001.85291,6144,1218.75,-498.368225097656
1680158017.95502,8192,1346,-550.372680664063
1680158033.07078,10240,1346,-550.372680664063
1680158080.03561,16384,1808.77783203125,-264.780975341797
1680158110.59367,20480,1928.09997558594,-159.478118896484
1680158126.39638,22528,2025.72729492188,-59.1264457702637
1680158141.37125,24576,2025.72729492188,-59.1264457702637
1680158187.1385,30720,2175.92309570312,117.070297241211
1680158202.49366,32768,2234.92846679687,193.024627685547
1680158218.3471,34816,2263.80004882812,178.336471557617
1680158233.73846,36864,2274.5625,160.866821289063
1680158248.63971,38912,2274.5625,160.866821289063
1680158264.47919,40960,2290.82348632812,147.245086669922
1680158280.34088,43008,2312.22216796875,136.44612121582
1680158295.95402,45056,2324.68432617187,124.694816589355
1680158311.68033,47104,2334.30004882812,115.502510070801
1680158326.67327,49152,2334.30004882812,115.502510070801
1680158358.6368,53248,2395,197.07633972168
1680158373.67725,55296,2395,197.07633972168
1680158389.17899,57344,2421.39135742187,226.782531738281
1680158404.92526,59392,2445.58325195312,250.774887084961
1680158419.81341,61440,2445.58325195312,250.774887084961
1680158435.18065,63488,2467.84008789062,264.922241210937
1680158450.77535,65536,2473.3076171875,230.487945556641
1680158466.06968,67584,2492.88891601562,242.833129882812
1680158480.80214,69632,2492.88891601562,242.833129882812
1680158496.15325,71680,2511.07153320312,261.672607421875
1680158525.90205,75776,2528,291.714141845703
1680158542.74025,77824,2543.80004882813,320.56005859375
1680158558.74016,79872,2558.58056640625,355.4052734375
1680158573.62965,81920,2558.58056640625,355.4052734375
1680158589.59217,83968,2572.4375,376.969085693359
1680158619.49678,88064,2585.45458984375,395.167358398438
1680158634.99369,90112,2597.70581054687,417.873046875
1680158681.02645,96256,2620.16674804687,474.20166015625
1680158696.43941,98304,2630.48657226562,496.143371582031
1680158711.93898,100352,2640.26318359375,519.688171386719
1680158727.01025,102400,2640.26318359375,519.688171386719
1680158742.48794,104448,2649.53857421875,544.814392089844
1680158758.12343,106496,2658.35009765625,568.297729492187
1680158773.13615,108544,2658.35009765625,568.297729492187
1680158788.69341,110592,2666.73168945313,591.8369140625
1680158804.14634,112640,2674.71435546875,614.093933105469
1680158819.19142,114688,2674.71435546875,614.093933105469
1680158850.21241,118784,2689.5908203125,669.547607421875
1680158865.08463,120832,2689.5908203125,669.547607421875
1680158896.22042,124928,2703.173828125,726.562255859375
1680158911.18168,126976,2703.173828125,726.562255859375
1680158926.94747,129024,2709.53198242187,753.354064941406
1680158942.36669,131072,2715.625,779.318237304688
1680158972.80054,135168,2721.46948242187,803.885803222656
1680158988.26634,137216,2727.080078125,829.595947265625
1680159003.21597,139264,2727.080078125,829.595947265625
1680159018.78352,141312,2732.470703125,855.249572753906
1680159050.69037,145408,2742.6416015625,905.041625976562
1680159065.87274,147456,2742.6416015625,905.041625976562
1680159081.77277,149504,2747.4443359375,926.2578125
1680159097.91184,151552,2752.07275390625,946.524475097656
1680159129.46416,155648,2756.53564453125,968.429626464844
1680159145.25626,157696,2760.84204101562,991.067749023438
1680159160.58457,159744,2760.84204101562,991.067749023438
1680159176.2658,161792,2765,1012.61328125
1680159192.05037,163840,2769.01684570312,1035.1787109375
1680159207.15932,165888,2769.01684570312,1035.1787109375
1680159222.71078,167936,2772.89990234375,1056.29077148438
1680159238.35956,169984,2776.65576171875,1077.74011230469
1680159253.38225,172032,2776.65576171875,1077.74011230469
1680159269.89607,174080,2780.29028320312,1096.75927734375
1680159285.7566,176128,2783.8095703125,1116.57751464844
1680159300.82408,178176,2783.8095703125,1116.57751464844
1680159317.00121,180224,2787.21875,1136.81433105469
1680159333.86005,182272,2790.52319335937,1155.65966796875
1680159350.42237,184320,2790.52319335937,1155.65966796875
1680159367.55644,186368,2793.72729492187,1172.8603515625
