Wall time,Step,Value
1680658218.579071,10240,1609.800048828125
1680658240.9591484,12288,1841.8333740234375
1680658371.5892234,24576,2038.3333740234375
1680658451.418072,32768,2167.466552734375
1680658466.6923938,34816,2167.466552734375
1680658526.180419,40960,2265.64697265625
1680658547.620001,43008,2306.5556640625
1680658569.81015,45056,2343.157958984375
1680658605.9965868,49152,2376.10009765625
1680658627.7982717,51200,2405.90478515625
1680658686.1771522,57344,2457.739013671875
1680658707.5607703,59392,2421.458251953125
1680658826.0095274,71680,2504.392822265625
1680658921.871904,81920,2552.54833984375
1680658965.5661883,86016,2574.51513671875
1680659104.158262,100352,2624.28955078125
1680659119.46736,102400,2624.28955078125
1680659142.1656795,104448,2633.974365234375
1680659179.260167,108544,2643.175048828125
1680659239.26806,114688,2660.261962890625
1680659305.6156611,120832,2683.04443359375
1680659365.0652654,126976,2696.616943359375
1680659380.5183804,129024,2696.616943359375
1680659403.0834172,131072,2702.979248046875
1680659424.17614,133120,2709.08154296875
1680659461.7244275,137216,2714.93994140625
1680659483.697406,139264,2720.568603515625
1680659498.9614797,141312,2720.568603515625
1680659520.1940281,143360,2725.980712890625
1680659557.2380166,147456,2731.188720703125
1680659579.516533,149504,2736.20361328125
1680659697.5127492,161792,2754.534423828125
1680659741.0550926,165888,2721.050048828125
1680659763.1739614,167936,2725.65576171875
1680659806.974373,172032,2697.1904296875
1680659878.95422,178176,2640.55224609375
1680659960.05161,186368,2656.04296875
1680660159.3293295,206848,2654.10400390625
1680660187.3455381,208896,2630.101318359375
1680660246.355568,215040,2639.283935546875
1680660305.4816022,221184,2647.867431640625
1680660327.5943956,223232,2652.083251953125
1680660365.196672,227328,2656.199951171875
1680660505.4105783,241664,2675.4111328125
1680660601.579804,251904,2685.9462890625
1680660682.140479,260096,2695.822998046875
1680660704.6085346,262144,2698.9794921875
1680660741.360086,266240,2702.071533203125
1680660778.5164394,270336,2705.10107421875
1680660801.285916,272384,2708.070068359375
1680660898.333649,282624,2746.81005859375
1680660927.37089,284672,2753.06005859375
1680661067.273528,299008,2776.43994140625
1680661110.8518503,303104,2779.780029296875
1680661126.1781878,305152,2779.780029296875
1680661183.9702895,311296,2785.0400390625
1680661324.7793808,325632,2789.320068359375
1680661383.5256739,331776,2789.320068359375
1680661426.622127,335872,2789.320068359375
1680661469.7495165,339968,2778.949951171875
1680661587.9463534,352256,2778.949951171875
1680661609.2495081,354304,2778.949951171875
1680661624.74807,356352,2778.949951171875
1680661690.6392407,362496,2756.080078125
